Equipment_ID,Equipment_Name,Equipment_Type,Safety_Status,Installation_Date,Standard_ID
1,Creamy Garlic Dressing,kettlebell,NeedFix,11/18/2024,1
2,Electric Heat Pad,yoga mat,NeedFix,2/18/2025,2
3,Black Bean Soup,yoga mat,NotWorking,8/17/2024,3
4,Solar Garden Lights,rowing machine,NeedFix,4/4/2025,4
5,French Bread,kettlebell,Fixed,11/18/2024,5
6,Honey BBQ Ribs,resistance bands,NeedFix,8/8/2024,6
7,LED Canopy Lights,kettlebell,NotWorking,5/15/2024,7
8,Portable Air Conditioner,treadmill,NeedFix,1/1/2025,8
9,Sesame Noodles,resistance bands,Fixed,11/24/2024,9
10,Pet Travel Carrier,kettlebell,Fixed,8/10/2024,10
11,Cold Brew Coffee Concentrate,resistance bands,NeedFix,5/7/2024,11
12,Fresh Lemons,treadmill,NeedFix,3/11/2025,12
13,Coconut Cream Pie Yogurt,exercise ball,NotWorking,7/20/2024,13
14,Organic Black Beans,yoga mat,NotWorking,10/14/2024,14
15,Dog Walking Waist Pack,pull-up bar,NeedFix,7/2/2024,15
16,Energy Protein Bars,kettlebell,NeedFix,3/18/2025,16
17,Garlic Butter Sauce,dumbbells,NotWorking,8/22/2024,17
18,Smart Light Switch,rowing machine,NeedFix,2/23/2025,18
19,Savory Quinoa Pudding,dumbbells,NeedFix,7/3/2024,19
20,Coconut Chia Seed Pudding,treadmill,NeedFix,5/1/2024,20
21,LED Table Lamp,dumbbells,NotWorking,9/17/2024,21
22,Microfiber Cleaning Cloth Set,resistance bands,Fixed,3/1/2025,22
23,Walnut Halves,exercise ball,NotWorking,11/2/2024,23
24,Applewood Smoked Bacon,medicine ball,Fixed,4/21/2024,24
25,Comfortable Bed Pillow,dumbbells,NeedFix,12/5/2024,25
26,Smart Water Bottle with Hydration Reminder,medicine ball,NotWorking,4/21/2024,26
27,Maple Pecan Pancake Mix,yoga mat,NotWorking,10/11/2024,27
28,Balsamic Glaze,dumbbells,NotWorking,3/23/2025,28
29,Honey BBQ Riblets,treadmill,NotWorking,6/3/2024,29
30,Pet Hair Removal Roller,jump rope,NeedFix,3/16/2025,30
31,Travel Laundry Bag,treadmill,Fixed,9/24/2024,31
32,Vegetarian Stuffed Peppers,dumbbells,NotWorking,7/28/2024,32
33,Handheld Vacuum,yoga mat,Fixed,9/20/2024,33
34,Peanut Butter Cookies,resistance bands,NeedFix,11/9/2024,34
35,Home Karaoke System,kettlebell,NeedFix,9/12/2024,35
36,Cable Knit Cardigan,kettlebell,NotWorking,12/16/2024,36
37,Sweet Pea Hummus,jump rope,NeedFix,5/3/2024,37
38,Set of Silicone Cooking Utensils,resistance bands,Fixed,2/26/2025,38
39,Whole Roasted Chicken,pull-up bar,Fixed,9/24/2024,39
40,Miso Dressing,pull-up bar,NotWorking,4/21/2024,40
41,Feta Cheese,pull-up bar,NotWorking,8/19/2024,41
42,Chia Seeds,kettlebell,NotWorking,3/20/2025,42
43,Folding Table,medicine ball,Fixed,3/18/2025,43
44,Organic Apples,resistance bands,NotWorking,8/26/2024,44
45,Wine Glasses,dumbbells,NotWorking,10/15/2024,45
46,Leather Crossbody Bag,jump rope,Fixed,7/5/2024,46
47,Mashed Sweet Potatoes,dumbbells,NeedFix,2/16/2025,47
48,Ready-to-Eat Chili,yoga mat,NotWorking,1/21/2025,48
49,Rice Noodles,dumbbells,NotWorking,8/8/2024,49
50,Peach Fruit Cups,dumbbells,NotWorking,7/3/2024,50
51,Foam Muscle Roller,dumbbells,NeedFix,10/22/2024,51
52,Garlic Butter Sauce,treadmill,NeedFix,9/26/2024,52
53,Mini Cordless Vacuum Cleaner,jump rope,NotWorking,6/15/2024,53
54,Digital Meat Thermometer,jump rope,NotWorking,7/9/2024,54
55,Acoustic Guitar,rowing machine,NeedFix,5/3/2024,55
56,Self-Watering Planter,kettlebell,Fixed,4/27/2024,56
57,Blackberry Jam,jump rope,NeedFix,5/16/2024,57
58,Scented Candle Set,rowing machine,NeedFix,8/6/2024,58
59,Almond Flour,pull-up bar,NotWorking,8/9/2024,59
60,Reclining Camping Chair,exercise ball,Fixed,6/22/2024,60
61,Smart LED Light Strip,pull-up bar,NeedFix,4/7/2024,61
62,Garlic Parmesan Roasted Potatoes,rowing machine,NeedFix,12/17/2024,62
63,Chickpea Salad,exercise ball,NotWorking,5/27/2024,63
64,Gaming Mousepad,exercise ball,NeedFix,7/19/2024,64
65,Fitness Mat,rowing machine,NeedFix,8/27/2024,65
66,Wooden Puzzle Game,rowing machine,Fixed,9/18/2024,66
67,Smart Air Purifier,dumbbells,NotWorking,9/23/2024,67
68,Coconut Lime Rice,treadmill,NeedFix,5/3/2024,68
69,USB Wall Charger,medicine ball,NeedFix,2/22/2025,69
70,Electric Wax Warmer,dumbbells,NeedFix,1/30/2025,70
71,Portable Solar Path Lights,dumbbells,Fixed,8/29/2024,71
72,Garlic Butter Shrimp,jump rope,NeedFix,1/24/2025,72
73,Roasted Chickpeas,rowing machine,NeedFix,4/7/2024,73
74,Oven-Baked Potato Chips,kettlebell,NeedFix,4/10/2024,74
75,Rice Pudding,resistance bands,Fixed,1/16/2025,75
76,Portable Air Pump,yoga mat,Fixed,3/27/2025,76
77,Smartphone Car Mount with Wireless Charging,rowing machine,Fixed,7/7/2024,77
78,Ski Goggles,treadmill,NeedFix,1/7/2025,78
79,Vegan Protein Powder,yoga mat,NotWorking,3/25/2025,79
80,Classic Minestrone Soup,rowing machine,Fixed,8/19/2024,80
81,Vegetarian Sausage Links,rowing machine,NeedFix,2/25/2025,81
82,Pet Food Storage Container,jump rope,NotWorking,4/5/2025,82
83,Grilled Vegetable Medley,medicine ball,Fixed,11/3/2024,83
84,Vegan Taco Seasoning,treadmill,Fixed,4/11/2024,84
85,Sustainable Wooden Toys,pull-up bar,Fixed,10/23/2024,85
86,Outdoor Mosquito Repellent Lantern,dumbbells,NeedFix,5/17/2024,86
87,Cranberry Lime Sparkling Water,pull-up bar,Fixed,7/13/2024,87
88,Kids'' Gardening Tools Set,dumbbells,NotWorking,6/8/2024,88
89,Infrared Space Heater,jump rope,NotWorking,12/12/2024,89
90,Kids'' Activity Book,jump rope,NotWorking,4/5/2025,90
91,Feta Cheese Crumbles,yoga mat,Fixed,3/24/2025,91
92,Garlic Breadsticks,rowing machine,NotWorking,6/4/2024,92
93,Caramel Sauce,jump rope,NotWorking,4/14/2024,93
94,Multi-Cooker,pull-up bar,NeedFix,7/29/2024,94
95,Maple Almond Butter,medicine ball,Fixed,10/15/2024,95
96,Electric Egg Cooker,jump rope,NotWorking,1/28/2025,96
97,Self-Massaging Pillow,kettlebell,Fixed,1/5/2025,97
98,Radish Chips,kettlebell,NeedFix,1/26/2025,98
99,Turmeric Ginger Tea,kettlebell,NotWorking,5/15/2024,99
100,Peach Green Tea,resistance bands,NotWorking,4/21/2024,100
101,Jump Rope with Counter,dumbbells,Fixed,4/12/2024,101
102,Baked Potato Chips,kettlebell,Fixed,5/10/2024,102
103,Winter Knit Beanie,treadmill,Fixed,5/29/2024,103
104,Nutty Trail Mix,resistance bands,NeedFix,8/15/2024,104
105,Portable Folding Picnic Table,treadmill,NotWorking,4/8/2024,105
106,Laptop Sleeve,exercise ball,NeedFix,9/23/2024,106
107,Wireless Gaming Mouse,exercise ball,NeedFix,2/13/2025,107
108,Frozen Mixed Berries,resistance bands,Fixed,12/23/2024,108
109,Organic Coconut Yogurt,treadmill,NeedFix,10/17/2024,109
110,Wall Decals for Kids,treadmill,NeedFix,11/10/2024,110
111,Yoga Strap,jump rope,Fixed,1/24/2025,111
112,Essential Oils Diffuser Necklace,dumbbells,NeedFix,6/5/2024,112
113,Kale Salad with Lemon Dressing,exercise ball,NeedFix,7/31/2024,113
114,Tea Infuser,pull-up bar,Fixed,4/8/2024,114
115,Adjustable Laptop Desk,exercise ball,NotWorking,10/24/2024,115
116,Chili Lime Shrimp,jump rope,NotWorking,3/29/2025,116
117,Puzzle Game Set,pull-up bar,NotWorking,9/29/2024,117
118,Travel Eye Mask with Ear Plugs,kettlebell,NeedFix,4/10/2024,118
119,Pesto Pasta Salad,exercise ball,Fixed,1/4/2025,119
120,Pesto Pasta Salad,exercise ball,NotWorking,3/1/2025,120
121,Herbal Garden Starter Kit,medicine ball,NotWorking,6/9/2024,121
122,Crispy Chickpeas,exercise ball,NeedFix,11/6/2024,122
123,Sporty Cap,treadmill,NeedFix,5/18/2024,123
124,Cranberry Almond Biscotti,medicine ball,Fixed,5/16/2024,124
125,Mini Electric Kettle,exercise ball,NeedFix,10/2/2024,125
126,Lemon Pepper Seasoning,resistance bands,NotWorking,8/14/2024,126
127,Lightweight Workout Tank,yoga mat,Fixed,10/28/2024,127
128,Non-Toxic Concrete Sealer,medicine ball,NotWorking,4/11/2024,128
129,Mini Indoor Hydroponic Garden,treadmill,NotWorking,4/17/2024,129
130,Fleece Lined Leggings,jump rope,NeedFix,7/11/2024,130
131,Ergonomic Mouse Pad with Wrist Support,kettlebell,Fixed,9/4/2024,131
132,Screen Cleaning Kit,rowing machine,NotWorking,4/25/2024,132
133,Kids'' Art Easel,kettlebell,NeedFix,12/6/2024,133
134,Blackberry Compote,treadmill,Fixed,2/7/2025,134
135,Organic Spinach,jump rope,Fixed,11/20/2024,135
136,Jigsaw Puzzle,resistance bands,Fixed,3/3/2025,136
137,Laptop Backpack,jump rope,Fixed,11/17/2024,137
138,Two-Tier Fruit Basket,medicine ball,NotWorking,6/16/2024,138
139,Sweet Potato and Chickpea Bowl,jump rope,NeedFix,7/12/2024,139
140,Cranberry Juice,medicine ball,NeedFix,10/23/2024,140
141,Vegan Mayonnaise,jump rope,Fixed,4/24/2024,141
142,Cheesy Broccoli Soup Mix,resistance bands,NotWorking,10/29/2024,142
143,Herbed Chicken Breast,pull-up bar,NeedFix,7/20/2024,143
144,Foot Spa Bath Massager,dumbbells,NotWorking,11/12/2024,144
145,Vegan chocolate chip cookies,kettlebell,NotWorking,11/28/2024,145
146,Buttermilk Pancakes,dumbbells,Fixed,12/2/2024,146
147,Winter Knit Beanie,yoga mat,NeedFix,7/21/2024,147
148,Decorative LED Neon Sign,treadmill,NotWorking,12/15/2024,148
149,Collapsible Storage Crates,medicine ball,NotWorking,9/19/2024,149
150,Blue Denim Jeans,exercise ball,Fixed,4/21/2024,150
151,Electric Food Slicer,medicine ball,NotWorking,1/28/2025,151
152,Multi-Purpose Marine Rope,medicine ball,NotWorking,6/26/2024,152
153,Herb Seasoned Rice,medicine ball,Fixed,7/22/2024,153
154,Peanut Butter Granola,yoga mat,NeedFix,9/12/2024,154
155,Wireless Keyboard and Mouse Combo,rowing machine,NeedFix,9/5/2024,155
156,Pumpkin Spice Cookies,resistance bands,NeedFix,9/18/2024,156
157,Car Diagnostic Scanner,exercise ball,NeedFix,2/22/2025,157
158,Himalayan Pink Salt,rowing machine,Fixed,7/31/2024,158
159,Puffed Rice Cake,jump rope,NotWorking,3/31/2025,159
160,Artisan Bread,resistance bands,NotWorking,10/13/2024,160
161,Ultraviolet Phone Sanitizer,exercise ball,NotWorking,9/24/2024,161
162,Wireless Smart Plug,medicine ball,NotWorking,6/10/2024,162
163,Cotton Pajama Set,resistance bands,NeedFix,1/24/2025,163
164,Dog Car Seat Cover,jump rope,NeedFix,6/18/2024,164
165,Adjustable Kneeling Pad,treadmill,NeedFix,7/9/2024,165
166,High-Speed Hand Blender,dumbbells,NeedFix,10/22/2024,166
167,Ranch Dressing,treadmill,Fixed,11/15/2024,167
168,Pet Food Storage Container,yoga mat,NeedFix,5/26/2024,168
169,Wrap Front Midi Skirt,jump rope,NotWorking,11/18/2024,169
170,Yoga Strap,yoga mat,NeedFix,8/19/2024,170
171,Set of Measuring Spoons,resistance bands,NeedFix,11/1/2024,171
172,Vegan Taco Seasoning,resistance bands,Fixed,7/13/2024,172
173,Classic Cheeseburger Mix,medicine ball,Fixed,6/11/2024,173
174,Travel Makeup Organizer,dumbbells,NeedFix,12/19/2024,174
175,Over-Ear Headphones,resistance bands,Fixed,7/4/2024,175
176,Kids'' STEM Robotics Kit,dumbbells,NotWorking,8/2/2024,176
177,Rice Pudding,exercise ball,NeedFix,4/7/2024,177
178,Graphic Hoodie,jump rope,NotWorking,3/15/2025,178
179,Garden Hoses with Expandable Features,yoga mat,NeedFix,1/16/2025,179
180,Spicy Italian Sausage,kettlebell,Fixed,9/18/2024,180
181,Comfort Flats,exercise ball,Fixed,8/3/2024,181
182,Organic Fruit Salad,medicine ball,Fixed,4/8/2024,182
183,Sesame Seeds,jump rope,Fixed,3/25/2025,183
184,Portable Projector,kettlebell,Fixed,11/10/2024,184
185,Elderberry Syrup Kit,jump rope,Fixed,11/26/2024,185
186,Reusable Produce Bags Set,dumbbells,NotWorking,10/15/2024,186
187,Pistachio Ice Cream,yoga mat,Fixed,9/20/2024,187
188,Kids'' Learning Tablet,medicine ball,Fixed,2/22/2025,188
189,Belted Trench Coat,yoga mat,NotWorking,4/4/2025,189
190,Organic Coconut Water,pull-up bar,NotWorking,8/29/2024,190
191,Dog Waste Bag Dispenser,pull-up bar,Fixed,2/2/2025,191
192,Smart Home Security Camera,medicine ball,NeedFix,1/27/2025,192
193,Chiffon Blouse,kettlebell,NotWorking,1/25/2025,193
194,Repair Tool Set for Home Improvement,treadmill,Fixed,8/31/2024,194
195,Outdoor Picnic Blanket,kettlebell,NeedFix,7/18/2024,195
196,Tomato Paste,kettlebell,NotWorking,8/28/2024,196
197,Casual Long Cardigan,rowing machine,Fixed,6/25/2024,197
198,Honey Ginger Tea,rowing machine,NotWorking,4/7/2024,198
199,Digital Food Scale,kettlebell,NeedFix,3/22/2025,199
200,Toy Building Set,dumbbells,NotWorking,2/15/2025,200
201,Frozen Mixed Vegetables,rowing machine,NotWorking,12/9/2024,201
202,Peanut Butter Granola,dumbbells,NeedFix,12/25/2024,202
203,Thai Basil Fried Rice,treadmill,NeedFix,1/7/2025,203
204,Silicone Cooking Utensils Set,medicine ball,Fixed,12/11/2024,204
205,Canvas Wall Art,yoga mat,NotWorking,8/18/2024,205
206,LED Desk Light,pull-up bar,Fixed,10/13/2024,206
207,Smartphone Tripod,medicine ball,Fixed,9/12/2024,207
208,Body Pillow Case,yoga mat,Fixed,11/19/2024,208
209,Jump Rope with Counter,yoga mat,Fixed,4/12/2024,209
210,Sporty Slide Sandals,yoga mat,Fixed,8/4/2024,210
211,Ramen Noodle Soup Cups,exercise ball,Fixed,4/24/2024,211
212,Chocolate Chip Cliff Bars,yoga mat,NeedFix,5/12/2024,212
213,Italian Sausage and Peppers,resistance bands,Fixed,12/3/2024,213
